symbol,cik,events
GLQ,0001316463,9
FRBBX,0001925779,9
EPSN,0001726126,9
GEL,0001022321,9
FPI,0001591670,9
CECO,0000003197,9
ENVX,0001828318,9
AROW,0000717538,9
LEE,0000058361,9
NRIM,0001163370,9
OEC,0001609804,9
CRK,0000023194,9
OCFC,0001004702,9
BHLB,0001108134,9
BFS,0000907254,9
UPBD,0000933036,9
MBCN,0000836147,9
CLST,0001849867,9
CZR,0001590895,9
EGBN,0001050441,9
HI,0001417398,9
FDBC,0001098151,9
SPFI,0001163668,9
UTZ,0001739566,9
ULBI,0000875657,9
STCN,0000914712,9
MBLY,0001910139,9
HROW,0001360214,9
CCIF,0001517767,9
MATV,0001000623,9
HAIN,0000910406,9
CSBR,0000771856,9
RELL,0000355948,9
FROPX,0001732078,9
PCSZX,0001995940,9
CMCO,0001005229,9
APEI,0001201792,9
OCSL,0001414932,8
LOVE,0001701758,8
COLB,0000887343,8
IVAC,0001001902,8
PLAY,0001525769,8
GRF,0000850027,8
DAL,0000027904,8
VOXX,0000807707,8
UFI,0000100726,8
INBK,0001562463,8
EBTC,0001018399,8
HTLF,0000920112,8
DMLP,0001172358,8
SLRC,0001418076,8
CBAN,0000711669,8
PFS,0001178970,8
APPS,0000317788,8
PCF,0000810943,8
SFNC,0000090498,8
RRBI,0001071236,8
PBHC,0001609065,8
TRS,0000842633,8
BFH,0001101215,8
FLIC,0000740663,8
TFIN,0001539638,8
FAT,0001705012,8
BKTI,0000002186,8
TNDM,0001438133,8
DCOM,0000846617,8
IE,0001879016,8
NTST,0001798100,8
CLFD,0000796505,8
DKL,0001552797,8
AAOI,0001158114,8
MRCY,0001049521,8
PENN,0000921738,8
NMRA,0001885522,8
IMNM,0001472012,8
SBGI,0001971213,8
SNBR,0000827187,8
HRTG,0001598665,8
ORN,0001402829,8
FLNC,0001868941,8
XIVYX,0001976685,8
VCRDX,0001812286,8
NE,0001895262,8
TCPC,0001370755,8
ZBIO,0001953926,8
SEPN,0001984086,8
OCTIX,0002000645,8
AWF,0000906013,7
CZNC,0000810958,7
LCRDX,0001753712,7
TREE,0001434621,7
WSBC,0000203596,7
CIZN,0001075706,7
FKYS,0000737875,7
FISI,0000862831,7
MLYS,0001933414,7
AFBI,0001823406,7
NXG,0001506488,7
LAZY,0001721741,7
FMAO,0000792966,7
SPOK,0001289945,7
WSR,0001175535,7
SM,0000893538,7
GECC,0001675033,7
XAIR,0001641631,7
GBCI,0000868671,7
PGC,0001050743,7
RAND,0000081955,7
GWRS,0001434728,7
BANX,0001578987,7
ISTR,0001602658,7
BW,0001630805,7
KYN,0001293613,7
ETNB,0001785173,7
GME,0001326380,7
STRW,0001782430,7
DNP,0000806628,7
WOLF,0000895419,7
HTBI,0001538263,7
SAFE,0001095651,7
TBI,0000768899,7
ACNB,0000715579,7
SELF,0001031235,7
WGS,0001818331,7
TCBS,0001849466,7
CGBD,0001544206,7
GTES,0001718512,7
RSVR,0001824403,7
ESSA,0001382230,7
ACIC,0001401521,7
EVBN,0000842518,7
DAR,0000916540,7
XRAY,0000818479,7
EYPT,0001314102,7
HNVR,0001828588,7
TBRG,0001169445,7
GENK,0001891856,7
LEG,0000058492,7
SHEN,0000354963,7
ACNT,0000095953,7
LGCY,0001836754,7
CTGO,0001502377,7
CSV,0001016281,6
FEIM,0000039020,6
MLVF,0001550603,6
PHAT,0001783183,6
FCF,0000712537,6
BLFY,0001846017,6
OBNK,0001516912,6
IBCP,0000039311,6
SBSI,0000705432,6
WMPN,0001828376,6
PDLB,0001874071,6
VBTX,0001501570,6
EMBC,0001872789,6
BHM,0001903382,6
VPG,0001487952,6
VABK,0001572334,6
CTO,0000023795,6
CVCY,0001127371,6
CFBK,0001070680,6
CHMG,0000763563,6
AAT,0001500217,6
TSLX,0001508655,6
MCB,0001476034,6
ABCB,0000351569,6
TGI,0001021162,6
INVA,0001080014,6
TRUL,0001754195,6
KEY,0000091576,6
WHF,0001552198,6
AEYE,0001362190,6
BKSC,0001007273,6
INFU,0001337013,6
INMB,0001711754,6
EVA,0001592057,6
NLCP,0001854964,6
WBA,0001618921,6
USGO,0001947244,6
ZION,0000109380,6
SNV,0000018349,6
HMST,0001518715,6
SGC,0000095574,6
ZVRA,0001434647,6
AKRO,0001744659,6
OPAL,0001842279,6
HNNA,0001145255,6
NFE,0001749723,6
WBD,0001437107,6
NSA,0001618563,6
EP,0000887396,6
AES,0000874761,6
XPOF,0001802156,6
CBU,0000723188,6
VVV,0001674910,6
BRID,0000014177,6
GATO,0001517006,6
NFBK,0001493225,6
MEI,0000065270,6
CTLP,0000896429,6
ACHR,0001824502,6
TRML,0001827506,6
CSWC,0000017313,6
MEC,0001766368,6
VVX,0001601548,6
AMRC,0001488139,6
TXO,0001559432,6
VYX,0000070866,6
CEV,0001074692,6
XFLT,0001703079,6
CPZ,0001717457,6
AMCR,0001748790,6
WES,0001423902,6
CPSI,0001169445,6
TRDA,0001689375,6
NAMS,0001936258,6
MXF,0000065433,6
MAC,0000912242,6
HUMA,0001818382,6
AFB,0001162027,6
KBDC,0001747172,6
ZIVO,0001101026,6
SPMC,0001930147,6
BEN,0000038777,6
RNAC,0001453687,6
MERC,0001333274,6
DINO,0001915657,6
ALTI,0001838615,5
NREF,0001786248,5
CMTL,0000023197,5
PAXS,0001886878,5
SODI,0000091668,5
MBWM,0001042729,5
FNB,0000037808,5
GCO,0000018498,5
STEL,0001473844,5
GLO,0001350869,5
CMPR,0001262976,5
PGRE,0001605607,5
WWW,0000110471,5
BNL,0001424182,5
GHI,0001059142,5
CMPO,0001823144,5
GLDD,0001372020,5
UHT,0000798783,5
MVBF,0001277902,5
FBNC,0000811589,5
SMBC,0000916907,5
BXMT,0001061630,5
VST,0001692819,5
VRDN,0001590750,5
ATEX,0001304492,5
VLY,0000714310,5
STGW,0000876883,5
TFC,0000092230,5
AMPY,0001533924,5
KEQU,0000055529,5
EPD,0001061219,5
TDW,0000098222,5
CVGW,0001133470,5
DNIF,0001059213,5
COSM,0001474167,5
ENBP,0001437479,5
USB,0000036104,5
DPG,0001515671,5
PLBC,0001168455,5
PBBK,0001849670,5
RMBI,0001767837,5
B,0000009984,5
FHN,0000036966,5
EWBC,0001069157,5
WNEB,0001157647,5
GPRE,0001309402,5
VNO,0000899689,5
AFCG,0001822523,5
RCKY,0000895456,5
FARO,0000917491,5
PFIS,0001056943,5
UBSI,0000729986,5
CMCT,0000908311,5
YMAB,0001722964,5
EYE,0001710155,5
BGSF,0001474903,5
BOWL,0001840572,5
MP,0001801368,5
SLNO,0001484565,5
REYN,0001786431,5
CNX,0001070412,5
TCBC,0001850398,5
FCPT,0001650132,5
GTN,0000043196,5
IGMS,0001496323,5
KGS,0001767042,5
PLCE,0001041859,5
JANX,0001817713,5
SHYF,0000743238,5
THR,0001489096,5
LTH,0001869198,5
OPCH,0001014739,5
MX,0001325702,5
ALGM,0000866291,5
MOND,0001828852,5
ABL,0001814287,5
GRND,0001820144,5
DNTH,0001690585,5
VSCO,0001856437,5
HQH,0000805267,5
CART,0001579091,5
STRUX,0001957892,5
OSTK,0001130713,5
NVST,0001757073,5
PETS,0001040130,5
ERII,0001421517,5
TPVG,0001580345,5
KLG,0001959348,5
YUMC,0001673358,5
XHFIX,0001903070,5
PESI,0000891532,5
PSBD,0001794776,5
ESOA,0001357971,5
HNRG,0000788965,5
MASS,0001555279,5
CPNG,0001834584,5
ASMB,0001426800,5
GDV,0001260729,5
WBTN,0001997859,5
ZD,0001084048,5
FVR,0001988494,5
SIRI,0000908937,5
AAP,0001158449,5
CVI,0001376139,5
MRP,0002017206,5
GSAT,0001366868,5
BCOV,0001313275,4
UMH,0000752642,4
SRRK,0001727196,4
CVV,0000766792,4
ETO,0001281926,4
UNTY,0000920427,4
MBC,0001941365,4
OBIO,0001814114,4
SPE,0000897802,4
PYCR,0001839439,4
DISH,0001001082,4
CSTR,0001676479,4
MEG,0001643615,4
ECVT,0001708035,4
ABST,0001071058,4
NSTG,0001401708,4
ZIMV,0001876588,4
ACRS,0001557746,4
HIPO,0001828105,4
CNOB,0000712771,4
WAFD,0000936528,4
CHEF,0001517175,4
CHCT,0001631569,4
DAVE,0001841408,4
TIPT,0001393726,4
MCBS,0001747068,4
SRCE,0000034782,4
AXTA,0001616862,4
GH,0001576280,4
CLDT,0001476045,4
HASI,0001561894,4
AMAM,0001836056,4
ARCC,0001287750,4
CBFV,0001605301,4
AE,0000002178,4
SHCO,0001846510,4
HPP,0001482512,4
AIRC,0001820877,4
TITN,0001409171,4
KFS,0001072627,4
UNFI,0001020859,4
CWEN,0001567683,4
KNTK,0001692787,4
SOR,0000091847,4
RMBL,0001596961,4
SFBS,0001430723,4
FNLC,0000765207,4
HFWA,0001046025,4
BSET,0000010329,4
EBMT,0001478454,4
BOH,0000046195,4
BMRC,0001403475,4
TRNR,0001785056,4
CALB,0001752036,4
IROQ,0001514743,4
IBTX,0001564618,4
CCBG,0000726601,4
DTM,0001842022,4
PFE,0000078003,4
CWBC,0001051343,4
HBB,0001709164,4
BRBS,0000842717,4
FLL,0000891482,4
BWB,0001341317,4
LAZR,0001758057,4
AVNW,0001377789,4
RPRX,0001802768,4
CAPL,0001538849,4
BLFS,0000834365,4
ORCC,0001655888,4
FSEA,0001943802,4
PRAA,0001185348,4
UBCP,0000731653,4
KRO,0001257640,4
ATMU,0001921963,4
MGYR,0001337068,4
ECC,0001604174,4
IART,0000917520,4
AMPS,0001828723,4
ASG,0000786035,4
PMTS,0001641614,4
BDTX,0001701541,4
RCUS,0001724521,4
BMN,0001832871,4
NZF,0001137887,4
PMM,0000844790,4
VRCA,0001660334,4
GLPI,0001575965,4
ASPN,0001145986,4
NVRI,0000045876,4
PKOH,0000076282,4
LYFT,0001759509,4
FBIO,0001429260,4
BHR,0001574085,4
SOWG,0001490161,4
JFR,0001276533,4
OLMA,0001750284,4
NAD,0001083839,4
COTY,0001024305,4
LEGH,0001436208,4
ALIT,0001809104,4
CCLFX,0001735964,4
HPF,0001189740,4
HPI,0001176199,4
PDT,0000855886,4
HTD,0001260041,4
HPS,0001215913,4
JHI,0000759828,4
JHS,0000759866,4
HEQ,0001496749,4
WDI,0001819559,4
CZFS,0000739421,4
CELFX,0001842754,4
TEX,0000097216,4
MG,0001436126,4
UHG,0001830188,4
KMPR,0000860748,4
LQDA,0001819576,4
SNCR,0001131554,4
THQ,0001604522,4
CRBP,0001595097,4
MNKTQ,0001567892,4
ANRO,0001999480,4
SOC,0001831481,4
GT,0000042582,4
STRT,0000933034,4
GOGO,0001537054,4
OBDC,0001655888,4
HRZN,0001487428,4
PHUN,0001665300,4
BTSG,0001865782,4
CDLX,0001666071,4
PX,0001841968,4
UUUU,0001385849,4
RICK,0000935419,4
BGS,0001278027,4
BCRX,0000882796,4
GNT,0001438893,4
FOXF,0001424929,4
LAKE,0000798081,4
DENN,0000852772,4
CIM,0001409493,4
ADVM,0001501756,4
CVRX,0001235912,4
PCRX,0001396814,4
XPER,0001788999,4
TLSI,0001826667,4
UCTT,0001275014,4
BNTC,0001808898,4
WHLRD,0001527541,4
MDBH,0001934642,4
PCG,0001004980,4
ONTF,0001110611,4
VG,0002007855,4
UTI,0001261654,3
VIR,0001706431,3
TAKMX,0001725472,3
FULC,0001680581,3
AURA,0001501796,3
PDO,0001798618,3
FATE,0001434316,3
NGM,0001426332,3
MGNX,0001125345,3
DCPH,0001654151,3
WLDN,0001370450,3
RDFN,0001382821,3
GAIN,0001321741,3
LGTO,0001883814,3
RXST,0001111485,3
UTG,0001263994,3
LNC,0000059558,3
NWL,0000814453,3
FCCO,0000932781,3
IDR,0001030192,3
PUMP,0001680247,3
PATI,0001616741,3
HYB,0000825345,3
PEAK,0000765880,3
RIG,0001451505,3
AUPH,0001600620,3
IHRT,0001400891,3
HTBK,0001053352,3
HFBL,0001500375,3
SAVA,0001069530,3
ICCH,0001681903,3
CVGI,0001290900,3
ASB,0000007789,3
BSVN,0001746129,3
OXLC,0001495222,3
CUBI,0001488813,3
AX,0001299709,3
FITB,0000035527,3
CLBK,0001723596,3
BATRA,0001560385,3
AESI,0001910950,3
GTLB,0001653482,3
AM,0001623925,3
PDM,0001042776,3
FUSB,0000717806,3
PRDEX,0001568905,3
SBFG,0000767405,3
EGLE,0001322439,3
FMBH,0000700565,3
HIW,0000921082,3
FBIZ,0001521951,3
HMNF,0000921183,3
TRC,0000096869,3
CQP,0001383650,3
ISD,0001534880,3
GHY,0001554697,3
CMT,0001026655,3
RNST,0000715072,3
REPX,0001001614,3
CFG,0000759944,3
CASS,0000708781,3
BANR,0000946673,3
KREF,0001631596,3
FIBK,0000860413,3
STBA,0000719220,3
CZWI,0001367859,3
ONB,0000707179,3
ADT,0001703056,3
MORF,0001679363,3
VIRT,0001592386,3
OBT,0001754226,3
HAFC,0001109242,3
SSBK,0001689731,3
MLKN,0000066382,3
HONE,0001769617,3
LC,0001409970,3
HTGC,0001280784,3
INVE,0001036044,3
TSN,0000100493,3
PLOW,0001287213,3
NRDS,0001625278,3
SIX,0000701374,3
